Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2016-01-04,134.24392700195312,134.71514627574402,132.83871751392707,134.47112040403292,2640800
2016-01-05,134.57215881347656,135.66603879316125,134.16826921031048,134.7741100347691,2127700
2016-01-06,133.32679748535156,134.46275200623558,132.6368200908878,133.25107060780365,2033400
2016-01-07,130.2723846435547,132.15721125255496,129.20374701757578,130.29762693996676,3826000
2016-01-08,127.9920425415039,130.67625085489328,127.73960678311134,130.6594183804895,3156200
2016-01-11,130.18817138671875,131.23156620568747,128.00041261254344,128.15187915631228,2164500
2016-01-12,131.31576538085938,131.62709559206496,130.37335208893887,131.02126764684328,2215600
2016-01-13,128.00047302246094,131.2821127324962,127.79853465468025,131.2400379594025,2157500
2016-01-14,128.89239501953125,129.7170194431702,127.33573121131634,127.8658450780246,2281500
2016-01-15,126.54479217529297,127.49562822578115,124.74410210868369,125.61919842354168,2975400
2016-01-19,126.612060546875,127.89946864489744,125.86317601378079,127.72275978229564,2242600
2016-01-20,125.22369384765625,126.21659153817035,121.93364494676818,124.920773514388,3796800
2016-01-21,126.53633880615234,127.25998107953667,124.62625754278646,125.34989981617078,2211800
2016-01-22,129.32159423828125,129.33842672162518,127.6050404410387,128.05100495398185,2544100
2016-01-25,126.87290954589844,129.9862493916001,126.67938104495504,129.64126715237444,1820600
2016-01-26,124.95448303222656,127.66393480257065,124.7861967340742,126.87297507789086,2828600
2016-01-27,124.30648040771484,125.87156628137471,123.45662685050326,125.61913059089811,2189500
2016-01-28,125.87159729003906,126.19135009937521,124.37382808748936,124.9965012321398,2076100
2016-01-29,127.1590347290039,127.57975680033006,123.61656207851212,125.79589932652114,3221300
2016-02-01,127.26841735839844,128.05937684951118,126.37648868609436,126.92342220343772,2142000
2016-02-02,124.95448303222656,126.88138489900093,124.62632025703192,126.2082397063915,1931400
2016-02-03,123.43985748291016,126.19979334032789,122.38805226775342,125.61078498772395,2546900
2016-02-04,120.56211853027344,122.12720518550859,119.30836210643153,122.00940351637988,5340500
2016-02-05,121.15955352783203,122.17769380755247,119.82164750791087,120.55371268394077,4079300
2016-02-08,123.70909118652344,124.15505544588555,119.16528622403837,120.10771216408095,3782000
2016-02-09,124.48326110839844,125.98103080664895,123.04438582959241,123.05280848909875,3228300
2016-02-10,124.91358184814453,126.70227606043638,124.51702977289396,126.02729298293127,2189600
2016-02-11,123.7322998046875,125.20038633931053,122.13765963528029,124.13729718444749,2198100
2016-02-12,125.41973114013672,125.94284945733777,124.02758987288551,124.85443686725554,1951800
2016-02-16,125.80789947509766,127.09879835401188,124.61824352810504,126.01039821316928,2186400
2016-02-17,127.3265609741211,128.22934015810281,125.63911073378834,126.34783674491443,2174600
2016-02-18,125.41973114013672,126.423766070412,123.87572553430101,125.82472845814206,2894300
2016-02-19,125.46195220947266,125.83319340926217,123.90106809573703,125.71507237971338,2471700
2016-02-22,126.60943603515625,126.71067896705854,125.28479380393065,126.24664027968748,2161300
2016-02-23,126.8625259399414,128.04373611078177,125.81630202132189,126.46597405239673,1850600
2016-02-24,129.8240509033203,130.2796699261894,126.2719734203104,126.58414776522505,2590100
2016-02-25,130.54115295410156,130.67615206451939,128.97182369960996,130.5158422301762,1746900
2016-02-26,126.28878021240234,129.43588443936866,125.51255458279923,129.16588619904164,3800800
2016-02-29,126.58409881591797,128.49935874710317,126.2972353193988,126.5503554704204,3115800
2016-03-01,126.9975357055664,127.5712627296883,126.03568937895366,126.8962799151365,2681400
2016-03-02,128.9127960205078,129.04779517203872,126.88786024445504,127.5122216646147,2947600
2016-03-03,127.90876007080078,128.21250169244266,124.34823829042017,125.34382796044133,5552600
2016-03-04,127.31806945800781,128.0521188016662,126.5840329885684,128.02680808714894,2155600
2016-03-07,125.01477813720703,127.30971201951304,124.53386140318364,126.52505365770719,3159600
2016-03-08,127.36031341552734,128.1787278705111,124.11197919529273,124.58446323647416,3156300
2016-03-09,129.13218688964844,129.5118607796289,127.66409992426438,127.69785615292834,2395300
2016-03-10,128.9802703857422,130.5158564672477,127.44469717846188,129.26714674522933,1413000
2016-03-11,128.8453369140625,129.93373723009475,127.7400456076867,129.80718354482255,1829900
2016-03-14,128.81150817871094,129.34305910612514,127.95090498056962,128.46557780137078,1218400
2016-03-15,130.0855712890625,130.2880700124631,128.0775136641398,128.0775136641398,1398500
2016-03-16,129.98431396484375,130.7774177841853,128.77779299975361,129.68057235050497,1485500
2016-03-17,129.7986602783203,130.55802055765972,129.5877290130965,129.78179504654278,1583200
2016-03-18,129.21649169921875,130.52426815663475,128.8958849211891,130.42302526612255,3611700
2016-03-21,129.8831329345703,130.229063552375,128.64285515793952,128.93816429494007,1367400
2016-03-22,128.44029235839844,129.77337981030038,128.24623915393556,129.2671523802808,1943100
2016-03-23,129.52024841308594,129.87461144560115,127.94248643812477,128.39809237300875,2127300
2016-03-24,127.76532745361328,130.00120742359715,127.275978065062,129.29248119787374,2506500
2016-03-28,128.81150817871094,129.8830426497343,128.06059336221972,128.07747146883278,1767400
2016-03-29,130.99679565429688,131.16555102683222,128.6849963916002,128.89592773304202,1655400
2016-03-30,132.9711151123047,133.5110988002295,131.32584044473114,131.5452172666618,2642700
2016-03-31,132.95420837402344,134.8272792044477,132.903586925778,133.27482804520966,2692400
2016-04-01,133.51953125,134.22825742558845,132.4648746050553,133.19891151018427,1531500
2016-04-04,133.0807647705078,134.14386670273217,132.00924309569876,133.8823010909684,1458400
2016-04-05,131.61276245117188,133.30864629142184,131.38495293183854,133.21583595941425,1855600
2016-04-06,132.27084350585938,132.81082728339956,130.96306647259257,131.46086140243472,1572600
2016-04-07,128.27154541015625,130.42304731685846,127.8074939598126,130.2880481905357,4050100
2016-04-08,127.95097351074219,129.07313002840533,127.33505746882621,129.07313002840533,2008500
2016-04-11,125.75725555419922,128.1956210983401,125.68975598689458,127.68938078066837,2279000
2016-04-12,126.9975357055664,127.13252196909568,125.30163961379888,126.22130997481108,2268300
2016-04-13,128.14505004882812,128.3137925963536,127.05663679996118,127.88349716902896,2078800
2016-04-14,127.739990234375,129.01402352691682,127.52062631691724,128.74402528306894,2420000
2016-04-15,129.23342895507812,129.7734127419957,128.11127253281228,128.21252834389176,2675900
2016-04-18,129.34304809570312,129.68897844359572,128.4740123553442,128.90430748067405,1335800
2016-04-19,129.6636505126953,129.84927104076104,128.65962858716733,129.74802816153306,1579000
2016-04-20,128.8705596923828,129.8408382818346,128.7524387086737,129.69740657834652,1308700
2016-04-21,127.75689697265625,128.87062066676967,127.14098104291472,128.65968931932952,2097600
2016-04-22,126.49125671386719,128.0858965278009,126.01877275036422,127.44467013079296,2233900
2016-04-25,127.83281707763672,127.97624883542309,126.11162310997369,126.54191838333281,1249000
2016-04-26,128.75242614746094,129.46958459493464,127.96775528820099,128.31368559039322,1552900
2016-04-27,128.43093872070312,129.05713386974142,127.44086190111372,128.82866354297047,1492800
2016-04-28,128.15167236328125,130.0218129886844,127.89780355598427,128.634011476072,2198100
2016-04-29,125.35063934326172,127.76235987747448,124.783673191451,126.94152500829945,3588800
2016-05-02,127.72010803222656,128.13476090150573,125.02913189890802,125.88381031794262,3361500
2016-05-03,128.12628173828125,129.07404480848436,126.59462430793394,127.00080663626335,2201300
2016-05-04,128.2108917236328,128.6255445089658,126.45922161478325,127.03464548441794,2111600
2016-05-05,125.10529327392578,127.25470156533608,123.86134753268824,126.06998457199714,4869300
2016-05-06,123.9205551147461,124.81754694547057,122.48198257986897,124.4452077903089,3692200
2016-05-09,125.73990631103516,126.06147424656376,123.97976604715855,124.2505628165091,2843800
2016-05-10,126.56070709228516,126.9161180718712,125.87527070934803,126.40839363487565,1943900
2016-05-11,124.49597930908203,125.82455194256636,124.0390258343087,125.5706831622245,2812700
2016-05-12,124.15748596191406,125.04602016361767,123.81900289093245,124.66522348068797,2860400
2016-05-13,122.27886199951172,124.1574725386474,122.10962048231843,123.82744706081546,2993600
2016-05-16,123.3705062866211,124.03902784945898,121.34803939380117,122.27888729940982,2615000
